time,accX,accY,accZ,gyroX,gyroY,gyroZ,magx,magy,magz
0,-0.922,-0.383,-0.082,-5.859,-0.244,-27.161,0,0,0
0.01,-0.894,-0.366,-0.08,4.639,3.54,-15.503,0,0,0
0.02,-0.867,-0.338,-0.102,15.93,2.808,-7.69,0,0,0
0.03,-0.811,-0.382,-0.172,23.926,0.977,-2.014,0,0,0
0.04,-0.863,-0.408,-0.166,38.33,2.991,8.24,0,0,0
0.05,-0.97,-0.444,-0.09,35.278,4.822,11.047,0,0,0
0.06,-0.956,-0.438,-0.119,22.278,2.869,11.292,0,0,0
0.07,-0.939,-0.434,-0.116,12.329,-2.991,12.512,0,0,0
0.08,-0.947,-0.422,-0.134,7.568,-14.038,19.104,0,0,0
0.09,-0.936,-0.398,-0.116,13.55,-24.841,25.757,0,0,0
0.1,-0.762,-0.33,-0.094,35.522,-46.021,42.114,0,0,0
0.11,-0.692,-0.471,-0.163,41.931,-67.261,43.457,0,0,0
0.12,-0.96,-0.559,-0.128,39.978,-51.392,36.804,0,0,0
0.13,-0.876,-0.533,-0.166,-10.437,-24.902,31.189,0,0,0
0.14,-0.914,-0.48,-0.146,-18.433,-15.991,26.306,0,0,0
0.15,-0.877,-0.433,-0.126,-34.485,-17.944,20.203,0,0,0
0.16,-0.88,-0.445,-0.141,-41.138,-17.578,12.39,0,0,0
0.17,-0.857,-0.492,-0.178,-32.715,0.122,9.949,0,0,0
0.18,-0.904,-0.505,-0.164,-10.803,32.593,8.362,0,0,0
0.19,-0.81,-0.49,-0.249,25.146,52.246,12.451,0,0,0
0.2,-1.134,-0.319,-0.069,22.644,-18.494,15.686,0,0,0
0.21,-0.954,-0.634,-0.124,9.338,35.217,7.324,0,0,0
0.22,-0.589,-0.6,-0.154,-51.331,7.812,7.996,0,0,0
0.23,-0.94,-0.314,-0.262,-26.672,-51.025,11.108,0,0,0
0.24,-0.899,-0.434,-0.194,32.227,23.193,6.409,0,0,0
0.25,-0.773,-0.602,-0.138,26.794,21.545,6.775,0,0,0
0.26,-0.846,-0.534,-0.152,-7.629,-11.963,7.141,0,0,0
0.27,-0.906,-0.425,-0.197,-5.249,-10.254,6.042,0,0,0
0.28,-0.877,-0.477,-0.197,21.484,12.451,4.639,0,0,0
0.29,-0.843,-0.528,-0.155,21.912,13.123,3.784,0,0,0
0.3,-0.85,-0.515,-0.179,5.066,0.183,2.808,0,0,0
0.31,-0.876,-0.455,-0.186,5.493,-0.671,2.502,0,0,0
0.32,-0.878,-0.477,-0.173,17.334,8.911,0.854,0,0,0
0.33,-0.847,-0.501,-0.149,16.602,9.521,-0.488,0,0,0
0.34,-0.871,-0.476,-0.154,9.094,4.15,-1.16,0,0,0
