time,pedal
0,-0.396292
0.010001,-0.396292
0.020003,-0.396292
0.030004,-0.396292
0.040006,-0.396292
0.050007,-0.396292
0.060009,-0.396292
0.07001,-0.396292
0.080011,-0.396292
0.090013,-0.396292
0.100014,-0.396292
0.110016,-0.396292
0.120017,-0.396292
0.130019,-0.396292
0.14002,-0.396292
0.150021,-0.396292
0.160023,-0.396292
0.170024,-0.396292
0.180026,-0.396292
0.190027,-0.396292
0.200029,-0.396292
0.21003,-0.396292
0.220031,-0.396292
0.230033,-0.396292
0.240034,-0.396292
0.250036,-0.396292
0.260037,-0.396292
0.270039,-0.396292
0.28004,-0.396292
0.290041,-0.396292
0.300043,-0.396292
0.310044,-0.396292
0.320046,-0.396292
0.330047,-0.396292
0.340049,-0.396292
0.35005,-0.396292
0.360051,-0.396292
0.370053,-0.396292
0.380054,-0.396292
0.390056,-0.396292
0.400057,-0.396292
0.410059,-0.396292
0.42006,-0.396292
0.430061,-0.396292
0.440063,-0.396292
0.450064,-0.396292
0.460066,-0.396292
0.470067,-0.396292
0.480069,-0.396292
0.49007,-0.396292
0.500071,-0.396292
0.510073,-0.396292
0.520074,-0.396292
0.530076,-0.396292
0.540077,-0.396292
0.550079,-0.396292
0.56008,-0.396292
0.570081,-0.396292
0.580083,-0.396292
0.590084,-0.396292
0.600086,-0.396292
0.610087,-0.396292
0.620089,-0.396292
0.63009,-0.396292
0.640091,-0.396292
0.650093,-0.396292
0.660094,-0.396292
0.670096,-0.396292
0.680097,-0.396292
0.690099,-0.396292
0.7001,-0.396292
0.710101,-0.396292
0.720103,-0.396292
0.730104,-0.396292
0.740106,-0.396292
0.750107,-0.396292
0.760109,-0.396292
0.77011,-0.396292
0.780111,-0.396292
0.790113,-0.396292
0.800114,-0.396292
0.810116,-0.396292
0.820117,-0.396292
0.830119,-0.396292
0.84012,-0.396292
0.850121,-0.396292
0.860123,-0.396292
0.870124,-0.396292
0.880126,-0.396292
0.890127,-0.396292
0.900129,-0.396292
0.91013,-0.396292
0.920131,-0.396292
0.930133,-0.396292
0.940134,-0.396292
0.950136,-0.396292
0.960137,-0.396292
0.970139,-0.396292
0.98014,-0.396292
0.990141,-0.396292
1.000143,-0.396292
1.010144,-0.396292
1.020146,-0.396292
1.030147,-0.396292
1.040149,-0.396292
1.05015,-0.396292
1.060151,-0.396292
1.070153,-0.396292
1.080154,-0.396292
1.090156,-0.396292
1.100157,-0.396292
1.110159,-0.396292
1.12016,-0.396292
1.130161,-0.396292
1.140163,-0.396292
1.150164,-0.396292
1.160166,-0.396292
1.170167,-0.396292
1.180169,-0.396292
1.19017,-0.396292
1.200171,-0.396292
1.210173,-0.396292
1.220174,-0.396292
1.230176,-0.396292
1.240177,-0.396292
1.250179,-0.396292
1.26018,-0.396292
1.270181,-0.396292
1.280183,-0.396292
1.290184,-0.396292
1.300186,-0.396292
1.310187,-0.396292
1.320189,-0.396292
1.33019,-0.396292
1.340191,-0.396292
1.350193,-0.396292
1.360194,-0.396292
1.370196,-0.396292
1.380197,-0.396292
1.390199,-0.396292
1.4002,-0.396292
1.410201,-0.396292
1.420203,-0.396292
1.430204,-0.396292
1.440206,-0.396292
1.450207,-0.396292
1.460209,-0.396292
1.47021,-0.396292
1.480211,-0.396292
1.490213,-0.396292
1.500214,-0.396292
1.510216,-0.396292
1.520217,-0.396292
1.530219,-0.396292
1.54022,-0.396292
1.550221,-0.396292
1.560223,-0.396292
1.570224,-0.396292
1.580226,-0.396292
1.590227,-0.396292
1.600229,-0.396292
1.61023,-0.396292
1.620231,-0.396292
1.630233,-0.396292
1.640234,-0.396292
1.650236,-0.396292
1.660237,-0.396292
1.670239,-0.396292
1.68024,-0.396292
1.690241,-0.396193
1.700243,-0.393788
1.710244,-0.391383
1.720246,-0.388978
1.730247,-0.386573
1.740249,-0.384168
1.75025,-0.376347
1.760251,-0.363007
1.770253,-0.356279
1.780254,-0.356279
1.790256,-0.356279
1.800257,-0.356279
1.810259,-0.34361
1.82026,-0.330271
1.830261,-0.304259
1.840263,-0.29795
1.850264,-0.292712
1.860266,-0.278811
1.870267,-0.257523
1.880269,-0.244183
1.89027,-0.23412
1.900271,-0.228881
1.910273,-0.223643
1.920274,-0.220837
1.930276,-0.218431
1.940277,-0.216026
1.950279,-0.213621
1.96028,-0.211216
1.970281,-0.205391
1.980283,-0.194389
1.990284,-0.188521
2.000286,-0.182653
2.010287,-0.176785
2.020289,-0.170917
2.03029,-0.159317
2.040291,-0.145977
2.050293,-0.142874
2.060294,-0.142874
2.070296,-0.142874
2.080297,-0.13992
2.090299,-0.123625
2.1003,-0.102027
2.110301,-0.098266
2.120303,-0.094504
2.130304,-0.090743
2.140306,-0.086273
2.150307,-0.081462
2.160309,-0.076652
2.17031,-0.071842
2.180311,-0.067032
2.190313,-0.061112
2.200314,-0.049128
2.210316,-0.046194
2.220317,-0.04326
2.230319,-0.040326
2.24032,-0.037391
2.250321,-0.028375
2.260323,-0.021119
2.270324,-0.018185
2.280326,-0.015251
2.290327,-0.012317
2.300329,-0.00931
2.31033,-0.0045
2.320331,0.00031
2.330333,0.005121
2.340334,0.009931
2.350336,0.014741
2.360337,0.023758
2.370339,0.037098
2.38034,0.050438
2.390341,0.062364
2.400343,0.072841
2.410344,0.083318
2.420346,0.088426
2.430347,0.093236
2.440349,0.098046
2.45035,0.102856
2.460351,0.107666
2.470353,0.115905
2.480354,0.12624
2.490356,0.132108
2.500357,0.137977
2.510359,0.143845
2.52036,0.149713
2.530361,0.161979
2.540363,0.175319
2.550364,0.188658
2.560366,0.199546
2.570367,0.210023
2.580369,0.218739
2.59037,0.22355
2.600371,0.22836
2.610373,0.23317
2.620374,0.23798
2.630376,0.24279
2.640377,0.245761
2.650379,0.248166
2.66038,0.250571
2.670381,0.252976
2.680383,0.255381
2.690384,0.257786
2.700386,0.260191
2.710387,0.262596
2.720389,0.265001
2.73039,0.267406
2.740391,0.269811
2.750393,0.279583
2.760394,0.285715
2.770396,0.288359
2.780397,0.291002
2.790399,0.293645
2.8004,0.296289
2.810401,0.298932
2.820403,0.301575
2.830404,0.304219
2.840406,0.306862
2.850407,0.309506
2.860409,0.31131
2.87041,0.312512
2.880411,0.313715
2.890413,0.314917
2.900414,0.31612
2.910416,0.317323
2.920417,0.318525
2.930419,0.319728
2.94042,0.32093
2.950421,0.322133
2.960423,0.323335
2.970424,0.325128
2.980426,0.327533
2.990427,0.329939
3.000429,0.332344
3.01043,0.334749
3.020431,0.337154
3.030433,0.339559
3.040434,0.341964
3.050436,0.344369
3.060437,0.346774
3.070439,0.349179
3.08044,0.350623
3.090441,0.350623
3.100443,0.350623
3.110444,0.350623
3.120446,0.350623
3.130447,0.350623
3.140449,0.354732
3.15045,0.359542
3.160451,0.364352
3.170453,0.369162
3.180454,0.373972
3.190456,0.37804
3.200457,0.380445
3.210459,0.38285
3.22046,0.385256
3.230461,0.387661
3.240463,0.390066
3.250464,0.391553
3.260466,0.392756
3.270467,0.393958
3.280469,0.395161
3.29047,0.396364
3.300471,0.397566
3.310473,0.398769
3.320474,0.399971
3.330476,0.401174
3.340477,0.402376
3.350479,0.403579
3.36048,0.412933
3.370481,0.419283
3.380483,0.422217
3.390484,0.425151
3.400486,0.428085
3.410487,0.431104
3.420489,0.434711
3.43049,0.438319
3.440491,0.441927
3.450493,0.445534
3.460494,0.449142
3.470496,0.45275
3.480497,0.456357
3.490499,0.459965
3.5005,0.463572
3.510502,0.46718
3.520503,0.471125
3.530504,0.484184
3.540506,0.489471
3.550507,0.494758
3.560509,0.500045
3.57051,0.505331
3.580512,0.510618
3.590513,0.515905
3.600514,0.521192
3.610516,0.526479
3.620517,0.531765
3.630519,0.537052
3.64052,0.53962
3.650522,0.542025
3.660523,0.54443
3.670524,0.546836
3.680526,0.549241
3.690527,0.561301
3.700529,0.577891
3.71053,0.579212
3.720532,0.580534
3.730533,0.581856
3.740534,0.583177
3.750536,0.584499
3.760537,0.585821
3.770539,0.587142
3.78054,0.588464
3.790542,0.589786
3.800543,0.591439
3.810544,0.593845
3.820546,0.59625
3.830547,0.598655
3.840549,0.60106
3.85055,0.603465
3.860552,0.6077
3.870553,0.61251
3.880554,0.61732
3.890556,0.62213
3.900557,0.626941
3.910559,0.631233
3.92056,0.633638
3.930562,0.636043
3.940563,0.638448
3.950564,0.640854
3.960566,0.643259
3.970567,0.645664
3.980569,0.648069
3.99057,0.650474
4.000572,0.652879
4.010573,0.655284
4.020574,0.657987
4.030576,0.662797
4.040577,0.667607
4.050579,0.672418
4.06058,0.677228
4.070582,0.682038
